# delay_us	bmRequestType	bRequest	wValue	wIndex	wLength	data_hex	capture_frame
2988	0xc0	0x88	0x0000	0x0340	64	-	4588
28035	0xc0	0x88	0x0000	0x0340	64	-	4590
31994	0xc0	0x88	0x0000	0x0340	64	-	4592
33131	0xc0	0x88	0x0000	0x0340	64	-	4594
28882	0xc0	0x88	0x0000	0x0340	64	-	4596
31002	0xc0	0x88	0x0000	0x0340	64	-	4598
30989	0xc0	0x88	0x0000	0x0340	64	-	4600
47087	0xc0	0x88	0x0000	0x0340	64	-	4602
46866	0xc0	0x88	0x0000	0x0340	64	-	4604
32012	0xc0	0x88	0x0000	0x0340	64	-	4606
31009	0xc0	0x88	0x0000	0x0340	64	-	4608
35025	0xc0	0x88	0x0000	0x0340	64	-	4610
27051	0xc0	0x88	0x0000	0x0340	64	-	4612
37946	0xc0	0x88	0x0000	0x0340	64	-	4614
25112	0xc0	0x88	0x0000	0x0340	64	-	4616
30906	0xc0	0x88	0x0000	0x0340	64	-	4618
31011	0x40	0x88	0x0000	0x0300	64	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a910a1	4620
2920	0xc0	0x88	0x0000	0x0340	64	-	4622
36038	0xc0	0x88	0x0000	0x0340	64	-	4624
39048	0xc0	0x88	0x0000	0x0340	64	-	4626
32021	0xc0	0x88	0x0000	0x0340	64	-	4628
30881	0xc0	0x88	0x0000	0x0340	64	-	4630
31068	0xc0	0x88	0x0000	0x0340	64	-	4632
30942	0xc0	0x88	0x0000	0x0340	64	-	4634
47017	0xc0	0x88	0x0000	0x0340	64	-	4636
31007	0xc0	0x88	0x0000	0x0340	64	-	4638
32028	0xc0	0x88	0x0000	0x0340	64	-	4640
31005	0xc0	0x88	0x0000	0x0340	64	-	4642
